Boton,Modulo,Opcion,Detalle,Acción,Estado,Observaciones
Administración,Documentacion,Ingresar Tipo de Documento,"Cuando ingreso un tipo de documento, me dice 1° que es incorrecto, luego, sí me lo da de alta. Controlar!, raro",Reparar,Arreglado,
Gestiones,gestion,iniciar Gestion,"Si el presupuesto tiene asociada una gestión, no debería traerlo cuando quiero iniciar una nueva gestión. Mismo concepto de cliente y persona.",Reparar,Arreglado,"Si seleccionas un presupuesto que ya tiene asociada una gestión, muestra un cartel indicando éste y no lo asocia a la gestión."
Todos,todos,Todos,Poner algo para que se sepa el formato de la fecha en las grillas.,Reparar,Comenzado,
Todos,todos,Todos,"Se deben quitar los recuadros de los campos, por ejemplo en detalle gestión.",Reparar,Arreglado,
Todos,todos,Todos,"Cuando comienzo a minimizar las ventanas , se termina tildando el sistema. Evaluar que vamos hacer con este problemilla je.",Reparar,Arreglado,"Se elimino que se puedan minimizar y redimensionar. Ojo con esto, en algunos casos podría no ser necesario."
Gestiones,Documentacion,listar Deudas documentos,"Reporte: fecha de pago muestra NULL, poner no aplicable. Ademas muestra la deuda de un solo documento, no te todos los que presentan deuda para esa gestion",Reparar,Arreglado,
Gestiones,documentacion,Ventana listar persona,tiene mal alineado el boton cerrar,Reparar,Arreglado,
Gestiones,documentacion,Registrar documentacion entidades externas,probando este modulo (se cargo una gestión desde cero) y lanzo esta excepción cuando intento registrar la documentación. java.lang.NullPointerException. Fijarse si falta validar algún campo que no este correcto,Reparar,Arreglado,
Gestiones,Documentacion,Registrar documentacion entidades externas,La fecha de ingreso NO debe estar la fecha ACTUAL por default.,Reparar,Arreglado,
Gestiones,Documentacion,Registrar documentacion entidades externas y de Clientes,Agregar a columna de días de vencimiento para que el usuario ingrese él la fecha de vencimiento de cada documentos. Además agregar el atributo: Quien Entrega,Reparar,Arreglado,
Gestiones,Documentacion,Consultar Vencimientos,Verificar que los datos a cargar en la grilla no sean NULL!,Reparar,Arreglado,
Presupuestos,Lista de Personas,Ventana lista presupuesto,En la lista de personas se muestra al usuario ADMIN,Reparar,Arreglado,"OJO: el problema no es del código, sino de cómo esta definida la persona admin en la base de datos: el nombre y apellido deben ser: Administrador"
Clientes,Buscar Gestion,Buscar Gestion,"Cuando no encuentra, que no diga que no existe la persona con los datos indicados, sino que no existe una ""gestion"" asociada que tenga personas asociadas con esos datos o algo asi",Reparar,Arreglado,
Gestiones,Gestion,Iniciar Gestion,"Busco un presupuesto, cada vez que presiono sobre el buscar, me lo carga de nuevo en la grilla, tantas veces como presione buscar, una vez que lo encuentre deberia cerrarse asi no pasa esto ",Reparar,Arreglado,
Administración,Escribanos,Consultar Suplencias,Añadir el reporte (consultar suplencias),Reparar,No Aplicable,
Clientes,Dar Alta cliente,,"Cuando se abre la pantalla por primera vez, queda habilitado el número de nupcias, aunque seas soltero. Debería estar por default deshabilitado.",Reparar,Arreglado,
Gestiones,Documentacion,Registrar documentacion entidades externas,Verificar todas las fechas en la grilla (formato),Reparar,Arreglado,
Gestiones,Gestion,Modificar Gestion,"Cuando se cargar el formulario de modificar gestion, aparece en la lista de clientes asociados, el cliente de referencia y te deja eliminarlo. ",Reparar,Arreglado,
Gestiones,Gestion,detalle Gestion,los Labels tienen distintos tamaño de letra.,Reparar,Arreglado,
Gestiones,Documentacion,Consultar Documentos Proximos a Vencer,"Reporte consultar proximos vencimientos, trae todos los registros. Algún error que se arrastro desde DocumentosPresentados",Reparar,Sin Comenzar,
Gestiones,Testimonios,retirar Testimonio,"cuando retirar una nueva copia, en realidad te modifica los datos de la última copia que se retiro. Además, poner un label con la cantidad de copias que quedan por retirar.",Reparar,Arreglado,
Reportes,Reportes,Reportes,Arreglar os fonts de los reportes,Reparar,Arreglado,
BDD,BDD,BDD,"la tabla registro de auditoria, modificar el tipo de dato del atributo modulo para que sea TEXT",Reparar,Arreglado,
Gestiones,Documentacion,Registrar Documentacion Cliente,"Ingresar docs cliente, pone la fecha de ingreso aunque no este entregado, que la ponga cuando ya este entregado.",Reparar,Sin Comenzar,
